"REF_DATE","GEO","DGUID","Hours worked","Job","Type of work","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1987-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1987-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.1","","","","1"
"1987-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.5","","","","1"
"1987-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.8","","","","1"
"1987-09","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.0","","","","1"
"1987-10","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.6","","","","1"
"1987-11","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1987-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1988-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.8","","","","1"
"1988-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1988-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1988-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1988-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.9","","","","1"
"1988-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.1","","","","1"
"1988-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.7","","","","1"
"1988-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.8","","","","1"
